"state","county","party","candidate","if_candidate_won_in_county","number_of_votes_in_county","all_county_votes_cast","all_possible_county_votes","number_of_wins_in_state","number_of_votes_in_state","all_possible_state_votes","if_candidate_won_in_state","cenzus_region","cenzus_subregion"
Colorado,Bent County,PRO,Phil Collins,false,0,2274,2274,0,568,3256953,false,West,Mountain
Colorado,Bent County,PSL,Gloria La Riva,false,0,2274,2274,0,1035,3256953,false,West,Mountain
Colorado,Bent County,UNA,Joe McHugh,false,0,2274,2274,0,614,3256953,false,West,Mountain
Colorado,Bent County,SWP,Alyson Kennedy,false,0,2274,2274,0,354,3256953,false,West,Mountain
Colorado,Bent County,IAP,Kyle Kopitke,false,0,2274,2274,0,762,3256953,false,West,Mountain
Colorado,Bent County,ASP,Brian Carroll,false,0,2274,2274,0,2516,3256953,false,West,Mountain
Colorado,Bent County,IND,Mark Charles,false,0,2274,2274,0,2011,3256953,false,West,Mountain
Colorado,Boulder County,DEM,Joe Biden,true,159089,206111,206111,24,1804352,3256953,true,West,Mountain
Colorado,Boulder County,REP,Donald Trump,false,42501,206111,206111,40,1364607,3256953,false,West,Mountain
Colorado,Boulder County,LIB,Jo Jorgensen,false,2539,206111,206111,0,52460,3256953,false,West,Mountain
Colorado,Boulder County,GRN,Howie Hawkins,false,697,206111,206111,0,8986,3256953,false,West,Mountain
Colorado,Boulder County,IND,Kanye West,false,391,206111,206111,0,8089,3256953,false,West,Mountain
Colorado,Boulder County,CST,Don Blankenship,false,219,206111,206111,0,5061,3256953,false,West,Mountain
Colorado,Boulder County,ASP,Brian Carroll,false,143,206111,206111,0,2516,3256953,false,West,Mountain
Colorado,Boulder County,UTY,Bill Hammons,false,122,206111,206111,0,2730,3256953,false,West,Mountain
Colorado,Boulder County,PSL,Gloria La Riva,false,103,206111,206111,0,1035,3256953,false,West,Mountain
Colorado,Boulder County,IND,Mark Charles,false,75,206111,206111,0,2011,3256953,false,West,Mountain
Colorado,Boulder County,IND,Brock Pierce,false,33,206111,206111,0,572,3256953,false,West,Mountain
Colorado,Boulder County,PRG,Dario Hunter,false,26,206111,206111,0,379,3256953,false,West,Mountain
Colorado,Boulder County,SWP,Alyson Kennedy,false,24,206111,206111,0,354,3256953,false,West,Mountain
Colorado,Boulder County,UNA,Princess Jacob-Fambro,false,24,206111,206111,0,495,3256953,false,West,Mountain
Colorado,Boulder County,ALI,Rocky De La Fuente,false,23,206111,206111,0,636,3256953,false,West,Mountain
Colorado,Boulder County,APV,Blake Huber,false,22,206111,206111,0,355,3256953,false,West,Mountain
Colorado,Boulder County,IAP,Kyle Kopitke,false,22,206111,206111,0,762,3256953,false,West,Mountain
Colorado,Boulder County,UNA,Joe McHugh,false,20,206111,206111,0,614,3256953,false,West,Mountain
Colorado,Boulder County,PRO,Phil Collins,false,19,206111,206111,0,568,3256953,false,West,Mountain
Colorado,Boulder County,SEP,Joseph Kishore,false,12,206111,206111,0,196,3256953,false,West,Mountain
Colorado,Boulder County,UNA,Jordan Scott,false,7,206111,206111,0,175,3256953,false,West,Mountain
Colorado,Boulder County,WRI, Write-ins,false,0,206111,206111,0,0,3256953,false,West,Mountain
Colorado,Broomfield County,DEM,Joe Biden,true,29077,46632,46632,24,1804352,3256953,true,West,Mountain
Colorado,Broomfield County,REP,Donald Trump,false,16295,46632,46632,40,1364607,3256953,false,West,Mountain
Colorado,Broomfield County,LIB,Jo Jorgensen,false,772,46632,46632,0,52460,3256953,false,West,Mountain
Colorado,Broomfield County,IND,Kanye West,false,106,46632,46632,0,8089,3256953,false,West,Mountain
Colorado,Broomfield County,GRN,Howie Hawkins,false,104,46632,46632,0,8986,3256953,false,West,Mountain
Colorado,Broomfield County,CST,Don Blankenship,false,74,46632,46632,0,5061,3256953,false,West,Mountain
Colorado,Broomfield County,ASP,Brian Carroll,false,50,46632,46632,0,2516,3256953,false,West,Mountain
Colorado,Broomfield County,UTY,Bill Hammons,false,46,46632,46632,0,2730,3256953,false,West,Mountain
Colorado,Broomfield County,IND,Mark Charles,false,23,46632,46632,0,2011,3256953,false,West,Mountain
Colorado,Broomfield County,PSL,Gloria La Riva,false,14,46632,46632,0,1035,3256953,false,West,Mountain
Colorado,Broomfield County,IND,Brock Pierce,false,13,46632,46632,0,572,3256953,false,West,Mountain
Colorado,Broomfield County,UNA,Joe McHugh,false,13,46632,46632,0,614,3256953,false,West,Mountain
Colorado,Broomfield County,IAP,Kyle Kopitke,false,10,46632,46632,0,762,3256953,false,West,Mountain
Colorado,Broomfield County,ALI,Rocky De La Fuente,false,8,46632,46632,0,636,3256953,false,West,Mountain
Colorado,Broomfield County,SWP,Alyson Kennedy,false,7,46632,46632,0,354,3256953,false,West,Mountain
Colorado,Broomfield County,PRO,Phil Collins,false,6,46632,46632,0,568,3256953,false,West,Mountain
Colorado,Broomfield County,PRG,Dario Hunter,false,5,46632,46632,0,379,3256953,false,West,Mountain
Colorado,Broomfield County,UNA,Jordan Scott,false,4,46632,46632,0,175,3256953,false,West,Mountain
Colorado,Broomfield County,UNA,Princess Jacob-Fambro,false,2,46632,46632,0,495,3256953,false,West,Mountain
Colorado,Broomfield County,APV,Blake Huber,false,2,46632,46632,0,355,3256953,false,West,Mountain
Colorado,Broomfield County,SEP,Joseph Kishore,false,1,46632,46632,0,196,3256953,false,West,Mountain
Colorado,Chaffee County,DEM,Joe Biden,true,7160,13717,13717,24,1804352,3256953,true,West,Mountain
Colorado,Chaffee County,REP,Donald Trump,false,6222,13717,13717,40,1364607,3256953,false,West,Mountain
Colorado,Chaffee County,LIB,Jo Jorgensen,false,189,13717,13717,0,52460,3256953,false,West,Mountain
Colorado,Chaffee County,GRN,Howie Hawkins,false,46,13717,13717,0,8986,3256953,false,West,Mountain
Colorado,Chaffee County,IND,Kanye West,false,22,13717,13717,0,8089,3256953,false,West,Mountain
Colorado,Chaffee County,CST,Don Blankenship,false,20,13717,13717,0,5061,3256953,false,West,Mountain
Colorado,Chaffee County,ASP,Brian Carroll,false,14,13717,13717,0,2516,3256953,false,West,Mountain
Colorado,Chaffee County,IND,Mark Charles,false,11,13717,13717,0,2011,3256953,false,West,Mountain
Colorado,Chaffee County,UTY,Bill Hammons,false,10,13717,13717,0,2730,3256953,false,West,Mountain
Colorado,Chaffee County,UNA,Princess Jacob-Fambro,false,4,13717,13717,0,495,3256953,false,West,Mountain
Colorado,Chaffee County,PRO,Phil Collins,false,3,13717,13717,0,568,3256953,false,West,Mountain
Colorado,Chaffee County,UNA,Joe McHugh,false,3,13717,13717,0,614,3256953,false,West,Mountain
Colorado,Chaffee County,IAP,Kyle Kopitke,false,3,13717,13717,0,762,3256953,false,West,Mountain
Colorado,Chaffee County,APV,Blake Huber,false,2,13717,13717,0,355,3256953,false,West,Mountain
Colorado,Chaffee County,ALI,Rocky De La Fuente,false,2,13717,13717,0,636,3256953,false,West,Mountain
Colorado,Chaffee County,PSL,Gloria La Riva,false,2,13717,13717,0,1035,3256953,false,West,Mountain
Colorado,Chaffee County,PRG,Dario Hunter,false,1,13717,13717,0,379,3256953,false,West,Mountain
Colorado,Chaffee County,UNA,Jordan Scott,false,1,13717,13717,0,175,3256953,false,West,Mountain
Colorado,Chaffee County,IND,Brock Pierce,false,1,13717,13717,0,572,3256953,false,West,Mountain
Colorado,Chaffee County,SWP,Alyson Kennedy,false,1,13717,13717,0,354,3256953,false,West,Mountain
Colorado,Chaffee County,WRI, Write-ins,false,0,13717,13717,0,0,3256953,false,West,Mountain
Colorado,Chaffee County,SEP,Joseph Kishore,false,0,13717,13717,0,196,3256953,false,West,Mountain
Colorado,Cheyenne County,REP,Donald Trump,true,993,1136,1136,40,1364607,3256953,false,West,Mountain
Colorado,Cheyenne County,DEM,Joe Biden,false,131,1136,1136,24,1804352,3256953,true,West,Mountain
Colorado,Cheyenne County,LIB,Jo Jorgensen,false,6,1136,1136,0,52460,3256953,false,West,Mountain
Colorado,Cheyenne County,IND,Kanye West,false,3,1136,1136,0,8089,3256953,false,West,Mountain
Colorado,Cheyenne County,CST,Don Blankenship,false,3,1136,1136,0,5061,3256953,false,West,Mountain
Colorado,Cheyenne County,UNA,Princess Jacob-Fambro,false,0,1136,1136,0,495,3256953,false,West,Mountain
Colorado,Cheyenne County,SEP,Joseph Kishore,false,0,1136,1136,0,196,3256953,false,West,Mountain
Colorado,Cheyenne County,IAP,Kyle Kopitke,false,0,1136,1136,0,762,3256953,false,West,Mountain
Colorado,Cheyenne County,PRG,Dario Hunter,false,0,1136,1136,0,379,3256953,false,West,Mountain
Colorado,Cheyenne County,UTY,Bill Hammons,false,0,1136,1136,0,2730,3256953,false,West,Mountain
Colorado,Cheyenne County,UNA,Jordan Scott,false,0,1136,1136,0,175,3256953,false,West,Mountain
Colorado,Cheyenne County,PSL,Gloria La Riva,false,0,1136,1136,0,1035,3256953,false,West,Mountain
Colorado,Cheyenne County,PRO,Phil Collins,false,0,1136,1136,0,568,3256953,false,West,Mountain
Colorado,Cheyenne County,ASP,Brian Carroll,false,0,1136,1136,0,2516,3256953,false,West,Mountain
Colorado,Cheyenne County,APV,Blake Huber,false,0,1136,1136,0,355,3256953,false,West,Mountain
Colorado,Cheyenne County,ALI,Rocky De La Fuente,false,0,1136,1136,0,636,3256953,false,West,Mountain
Colorado,Cheyenne County,GRN,Howie Hawkins,false,0,1136,1136,0,8986,3256953,false,West,Mountain
Colorado,Cheyenne County,SWP,Alyson Kennedy,false,0,1136,1136,0,354,3256953,false,West,Mountain
Colorado,Cheyenne County,UNA,Joe McHugh,false,0,1136,1136,0,614,3256953,false,West,Mountain
Colorado,Cheyenne County,WRI, Write-ins,false,0,1136,1136,0,0,3256953,false,West,Mountain
Colorado,Cheyenne County,IND,Mark Charles,false,0,1136,1136,0,2011,3256953,false,West,Mountain
